boss_order_id,order_date,shop,Brands,shipping_country,Order Total (GBP),Refund (GBP),net_revenue_gbp,has_coupon,coupon_code,campaign_type_clean
2223238,2022-10-14,CrazyBulk USA,CrazyBulk,US,522.4516812284883,0.0,483.7515566930447,True,"FREE PRODUCT,SAVE20",No coupon
2222888,2022-10-13,CrazyBulk USA,CrazyBulk,US,522.4428558820933,0.0,479.8556655633463,True,"FREE PRODUCT,SALE20",No coupon
3093837,2024-02-22,CrazyBulk USA,CrazyBulk,US,522.34,0.0,485.8976744186047,True,",FREE PRODUCT,SALE20",No coupon
2854184,2023-08-30,CrazyBulk USA,CrazyBulk,US,522.3,0.0,481.9154825613581,True,"FREE PRODUCT,LABORDAY",No coupon
2248096,2022-11-01,CrazyBulk USA,CrazyBulk,US,522.2488675726087,0.0,485.81290006754296,True,"FREE PRODUCT,TREAT",No coupon
2298526,2022-11-30,CrazyBulk USA,CrazyBulk,US,522.1467053460424,0.0,468.2930092789618,True,",FREE PRODUCT,FRIDAY50",No coupon
2860387,2023-09-01,CrazyBulk USA,CrazyBulk,US,522.0,0.0,482.217090069284,True,"VIP TIER GIFT,FREE PRODUCT,LCBD1LB3IHQF1",No coupon
2332715,2022-12-22,CrazyBulk USA,CrazyBulk,US,521.47,0.0,491.9528301886792,True,FREE PRODUCT,No coupon
3296306,2024-09-29,CrazyBulk USA,CrazyBulk,US,521.25,0.0,480.4147465437788,True,",SALES,SALES",No coupon
2568837,2023-04-15,CrazyBulk USA,CrazyBulk,US,521.17,0.0,491.66981132075466,True,",EASTER",No coupon
2349386,2023-01-01,CrazyBulk USA,CrazyBulk,US,520.75,0.0,520.75,True,"FREE PRODUCT,STACK50",No coupon
3100390,2024-02-28,Crazy Nutrition US,Crazy Nutrition,US,520.48,0.0,468.0575539568345,False,,No coupon
3339633,2024-11-30,CrazyBulk USA,CrazyBulk,US,520.41,0.0,474.1776765375855,True,",FREE PRODUCT,FRIDAY50",No coupon
2399375,2023-01-24,CrazyBulk USA,CrazyBulk,US,520.22,0.0,479.4654377880185,True,"FREE PRODUCT,SAVE20",No coupon
2633349,2023-05-15,CrazyBulk USA,CrazyBulk,US,520.05,0.0,520.05,True,",FREE PRODUCT",No coupon
2485869,2023-03-08,CrazyBulk USA,CrazyBulk,US,520.0,0.0,477.5022956841139,True,FREE PRODUCT,No coupon
3113869,2024-03-10,CrazyBulk UK,CrazyBulk,GB,519.95,0.0,433.29166666666674,True,FREE PRODUCT,No coupon
2498238,2023-03-14,CrazyBulk USA,CrazyBulk,US,519.93,0.0,483.6558139534884,True,"FREE PRODUCT,SALE20",No coupon
2891385,2023-09-16,CrazyBulk USA,CrazyBulk,US,519.91,0.0,519.91,True,",FREE PRODUCT",No coupon
3055462,2024-01-20,CrazyBulk USA,CrazyBulk,US,519.51,0.0,488.9505882352941,True,",FREE PRODUCT,SAVE20",No coupon
2876178,2023-09-08,CrazyBulk USA,CrazyBulk,HK,519.45,0.0,519.45,True,"FREE PRODUCT,SALE20",No coupon
2966068,2023-11-06,CrazyBulk USA,CrazyBulk,US,519.32,0.0,488.7717647058824,True,"FREE PRODUCT,FRIDAY50",No coupon
2448182,2023-02-19,CrazyBulk USA,CrazyBulk,US,519.29,519.29,0.0,True,",FREE PRODUCT,SALE20",No coupon
3044656,2024-01-10,CrazyBulk USA,CrazyBulk,US,519.04,0.0,476.7301951779563,True,",FREE PRODUCT,SALE20",No coupon
3151593,2024-04-10,CrazyBulk USA,CrazyBulk,US,519.03,0.0,476.61157024793386,True,"FREE PRODUCT,LCB5X88P7X4AI",No coupon
2607320,2023-05-02,CrazyBulk USA,CrazyBulk,US,519.0,0.0,478.3410138248848,True,"FREE PRODUCT,SALE20",No coupon
