antecedent,consequent,pair_order_count,support,confidence,lift
AS4998M4,CB2739P1,202,0.00020027205272905372,0.06706507304116865,12.714983175069147
CB2739P1,AS4998M4,202,0.00020027205272905372,0.03796992481203008,12.714983175069147
WS1268BF2,TP-GUIDES,646,0.0006404739904107362,0.12764275834815253,12.603432214114576
TP-GUIDES,WS1268BF2,646,0.0006404739904107362,0.06324033284385708,12.603432214114576
AS6483P1,CBLOYALFLYER,320,0.00031726265778859997,0.12441679626749612,12.269286701768877
CBLOYALFLYER,AS6483P1,320,0.00031726265778859997,0.03128666405944466,12.269286701768877
WS1267P5,WS1267P3,326,0.0003232113326221362,0.15106580166821132,12.107206786253844
WS1267P3,WS1267P5,326,0.0003232113326221362,0.025903853794199443,12.107206786253844
AS6485P1,CBLOYALFLYER,410,0.0004064927802916437,0.12123004139562389,11.955026808054882
CBLOYALFLYER,AS6485P1,410,0.0004064927802916437,0.040086038326163476,11.955026808054882
AS6485P1,AS6493P1,509,0.0005046459150449918,0.15050266114725014,11.926555476715007
AS6493P1,AS6485P1,509,0.0005046459150449918,0.03999057196731615,11.926555476715007
TP-GUIDES,WS1325P5,1929,0.0019124989589819042,0.18883994126284875,11.661620784673032
WS1325P5,TP-GUIDES,1929,0.0019124989589819042,0.11810445111124716,11.661620784673032
CB2585P1,CB2584P1,348,0.0003450231403451025,0.0932975871313673,11.59041245389047
CB2584P1,CB2585P1,348,0.0003450231403451025,0.04286242148047789,11.59041245389047
AS6487P1,AS6492P1,596,0.0005909017001312674,0.14716049382716048,11.572602102596385
AS6492P1,AS6487P1,596,0.0005909017001312674,0.046468111648214565,11.572602102596385
AS6492P3,CB2739P1,284,0.00028157060878738246,0.05875051717004551,11.138612148907644
CB2739P1,AS6492P3,284,0.00028157060878738246,0.05338345864661654,11.138612148907644
WS1268BF4,TP-GUIDES,866,0.0008585920676403986,0.11017811704834606,10.878975412847693
TP-GUIDES,WS1268BF4,866,0.0008585920676403986,0.08477728830151737,10.878975412847693
AS6494P1,AS6490P1,1081,0.0010717529158421142,0.1789438834630028,10.743961622091886
AS6490P1,AS6494P1,1081,0.0010717529158421142,0.06434906839692839,10.743961622091886
CB2739P1,AS6569M6,371,0.00036782639387365805,0.06973684210526315,10.691371269029847
AS6569M6,CB2739P1,371,0.00036782639387365805,0.05639154886760906,10.691371269029847
CB2415P1,CB2416P1,264,0.00026174169267559496,0.06266318537859007,10.683543499330046
CB2416P1,CB2415P1,264,0.00026174169267559496,0.04462474645030426,10.683543499330046
CB2739P1,AS6352M4,888,0.0008804038753633649,0.16691729323308271,10.536829117480144
AS6352M4,CB2739P1,888,0.0008804038753633649,0.055576417574164476,10.536829117480144
CB2562P1,CB2584P1,262,0.0002597588010644162,0.08419023136246787,10.459000453093145
CB2584P1,CB2562P1,262,0.0002597588010644162,0.032269983988175883,10.459000453093145
AS1373P1,AS6490P1,853,0.0008457032721677368,0.17379788101059496,10.434990721349745
AS6490P1,AS1373P1,853,0.0008457032721677368,0.050776831954282994,10.434990721349745
CB2585P1,CB2586P1,280,0.00027760482556502496,0.07506702412868632,10.393233001080114
